position|id|FullName|worth_BUSD|worthChange_MUSD|Industry|Company|n_age|gender|image
65|2670|CHAROEN SIRIVADHANABHAKDI|17.9|0.0|Food and Beverage |drinks, real estate|74|Male|https://specials-images.forbesimg.com/imageserve/58a2956ca7ea431f321976b1/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=85&cropY2=829
66|2010|PALLONJI MISTRY|17.8|0.0|Construction & Engineering |construction|89|Male|https://specials-images.forbesimg.com/imageserve/222dbe79a423261046cbdb42ac70e16b/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=3&cropY2=744
67|2380|RAY DALIO|17.7|0.0|Finance and Investments |hedge funds|68|Male|https://specials-images.forbesimg.com/imageserve/5ac959f74bbe6f2310f1e05c/416x416.jpg?background=000000&cropX1=777&cropX2=3143&cropY1=114&cropY2=2478
68|8836|TAKEMITSU TAKIZAKI|17.5|0.0|Manufacturing |sensors|73|Male|https://specials-images.forbesimg.com/imageserve/5a0a24205655325303469e7ab36397dc/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=116&cropY2=860
69|1312|WILLIAM DING|17.4|0.0|Technology |online games|46|Male|https://specials-images.forbesimg.com/imageserve/5a7d09364bbe6f2652f51155/416x416.jpg?background=000000&cropX1=4&cropX2=1672&cropY1=396&cropY2=2063
70|1496|R. BUDI HARTONO|17.4|0.0|Finance and Investments |banking, tobacco|77|Male|https://specials-images.forbesimg.com/imageserve/b8d46ef97d58d450be629bd0fddc9a6e/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=10&cropY2=754
71|7030|GINA RINEHART|17.4|-1.2570000000000001|Metals & Mining |mining|64|Unknown|https://specials-images.forbesimg.com/imageserve/59f73f7831358e542c046b65/416x416.jpg?background=000000&cropX1=211&cropX2=1123&cropY1=82&cropY2=995
72|4004|GERMAN LARREA MOTA VELASCO|17.3|0.0|Metals & Mining |mining|64|Male|https://specials-images.forbesimg.com/imageserve/597a47174bbe6f3eb800b6b8/416x416.jpg?background=000000&cropX1=1901&cropX2=3603&cropY1=368&cropY2=2069
73|2081|CARL ICAHN|16.8|0.0|Finance and Investments |investments|82|Unknown|https://specials-images.forbesimg.com/imageserve/57e5739ca7ea430a8a1a2b8f/416x416.jpg?background=000000&cropX1=74&cropX2=744&cropY1=74&cropY2=744
74|2907|STEFAN PERSSON|16.8|0.0|Fashion & Retail |H&M|70|Male|https://specials-images.forbesimg.com/imageserve/5a8121d54bbe6f2652f545f0/416x416.jpg?background=000000&cropX1=599&cropX2=2597&cropY1=15&cropY2=2015
75|4765|MICHAEL HARTONO|16.7|0.0|Manufacturing |banking, tobacco|78|Male|https://specials-images.forbesimg.com/imageserve/5a8121d54bbe6f2652f545f0/416x416.jpg?background=000000&cropX1=599&cropX2=2597&cropY1=15&cropY2=2015
76|5287|JOSEPH LAU|16.7|-0.001|Real Estate |real estate|66|Male|https://specials-images.forbesimg.com/imageserve/5a7e6ca6a7ea431690132547/416x416.jpg?background=000000&cropX1=125&cropX2=1076&cropY1=81&cropY2=1033
77|2609|THOMAS & RAYMOND KWOK|16.5|0.0|Real Estate |real estate|999|Male|https://specials-images.forbesimg.com/imageserve/5a579cfd4bbe6f2652f2517c/416x416.jpg?background=000000&cropX1=152&cropX2=1061&cropY1=6&cropY2=915
